gid,animal,time,geom,label
315,767,2006-04-11 16:03:05,0101000020110F00002A66EF7A16CC3241572BACBB4B0E5641,1
336,767,2006-04-19 00:02:11,0101000020110F0000F5BC3C497FCB3241099BC905170E5641,1
357,767,2006-04-23 12:02:27,0101000020110F0000A1B9B16AB0C73241D3EBBFFAD60F5641,2
364,767,2006-04-25 04:01:41,0101000020110F00005B5AD34505C632410E1B9DC1A40F5641,2
370,767,2006-04-26 08:02:39,0101000020110F0000D522A25ED3C63241B1B95341F80F5641,2
391,767,2006-05-02 04:01:54,0101000020110F0000A92BE1D63FC7324165E55319B70F5641,2
412,767,2006-05-06 20:01:43,0101000020110F000063C8980C34C63241C157D164B40F5641,2
433,767,2006-05-12 04:01:55,0101000020110F0000DFA91D8E89C73241EC76CB09AA0F5641,2
454,767,2006-05-19 00:01:54,0101000020110F00001EDD4A05FCC43241D1502915080F5641,2
461,767,2006-05-22 16:01:59,0101000020110F000058C27F3871C73241028AE6EFA00F5641,2
467,767,2006-05-24 00:01:49,0101000020110F00004C61529D04C5324178946D7CFA0E5641,2
488,767,2006-05-29 12:02:48,0101000020110F0000487233E838C932410ABECAE8AF0F5641,2
509,767,2006-06-03 20:01:43,0101000020110F0000B83ECDBB14C53241D4AA0AB06A0F5641,2
530,767,2006-06-09 12:01:59,0101000020110F0000A76E368C2CC73241093A96C9AC0F5641,2
551,767,2006-06-14 12:02:17,0101000020110F0000FC4176BB11C8324157E4FE34E10F5641,2
648,767,2006-07-15 04:01:24,0101000020110F00000B806D4F19C63241472A1F833D0F5641,2
11,767,2005-11-29 20:01:47,0101000020110F000078BE97A54CCB3241B9D68915EB0D5641,1
164,767,2006-02-06 12:02:17,0101000020110F00008CD88AE7E2CA3241B3774C06030E5641,1
172,767,2006-02-08 18:01:07,0101000020110F0000CE7874F527CD324112DC0694E70D5641,1
375,767,2006-04-27 16:02:39,0101000020110F0000166924E011C732414A0AAC35F10F5641,2
479,767,2006-05-27 00:01:24,0101000020110F0000D8DF4CA9E6C6324132DDF3AA4E0F5641,2
582,767,2006-06-23 00:02:09,0101000020110F0000B16E9B64C1C73241707AD5987C0F5641,2
687,767,2006-08-07 20:01:52,0101000020110F0000123F73588AC73241C17EFA6E14105641,2
791,767,2006-08-31 04:01:16,0101000020110F000041F1420A83C53241255F6202900F5641,2
895,767,2006-10-03 00:02:27,0101000020110F0000D21464BE85C432415DDB80895E0F5641,2
1000,767,2006-10-29 12:03:01,0101000020110F0000C1D88C038CC63241FCF3FCFAFA0F5641,2
1102,767,2006-11-19 20:01:12,0101000020110F0000520B25E488C2324136C9B0A9540F5641,2
1074,767,2006-11-14 00:01:53,0101000020110F0000F9D7F2D69CC2324167F9F0084C0F5641,2
1096,767,2006-11-18 20:00:48,0101000020110F0000B62B36905BC332416B40E9A4B50F5641,2
15,767,2005-11-30 16:01:04,0101000020110F00008C2E4E3250CA324121BC0B45E70D5641,1
27,767,2005-12-07 12:02:06,0101000020110F000077A36E3CCACA3241B95A5F3F3F0E5641,1
28,767,2005-12-07 16:01:44,0101000020110F00007E358BDEE7CA3241345AB7E2800E5641,1
29,767,2005-12-07 20:02:19,0101000020110F000029C14DE861CA3241B2985E0B870E5641,1
30,767,2005-12-08 00:01:30,0101000020110F00001D1A796EEBCA3241D4F9285A720E5641,1
31,767,2005-12-08 04:01:43,0101000020110F0000D6AF8D4C21CB3241122D1E766E0E5641,1
32,767,2005-12-11 06:01:47,0101000020110F0000D86F1E22A5CA32415738F09A260E5641,1
1099,767,2006-11-19 08:01:49,0101000020110F0000F2A7B6739AC63241D87304C905105641,2
1100,767,2006-11-19 12:02:53,0101000020110F0000BED19698D5C6324177E24BEB0A105641,2
1101,767,2006-11-19 16:02:24,0101000020110F0000B408627250C63241B2759978D00F5641,2
33,767,2005-12-11 12:01:40,0101000020110F00003572E56ABACA324159A61F1E450E5641,1
34,767,2005-12-11 18:03:08,0101000020110F0000FB53B27608CB324152040220750E5641,1
35,767,2005-12-12 00:01:51,0101000020110F0000CC281293F0CA32411422E0677C0E5641,1
1167,767,2006-12-03 08:01:49,0101000020110F00002EA01F16DDC53241B7D69335DE0F5641,2
1168,767,2006-12-03 12:02:40,0101000020110F00002A0E5687B7C632410DBE178E1F105641,2
1169,767,2006-12-03 16:01:09,0101000020110F0000C375B559B1C632414E899A9207105641,2
1170,767,2006-12-03 20:00:55,0101000020110F0000CEE83FC07DC4324120CA3E04960F5641,2
1171,767,2006-12-04 00:01:24,0101000020110F00009C0126994AC33241092474770C0F5641,2
1172,767,2006-12-04 04:00:49,0101000020110F0000DB58E487E4C3324185EA858D460F5641,2
1173,767,2006-12-04 12:03:00,0101000020110F0000CF1AD5C534C632410B751EB702105641,2
1174,767,2006-12-04 16:02:09,0101000020110F0000F5F7314D91C632411A9B069712105641,2
1175,767,2006-12-04 20:00:48,0101000020110F0000EE3C9673FBC33241EAB2D827800F5641,2
1176,767,2006-12-05 00:00:53,0101000020110F0000AFC5551AEEC23241999D03A0390F5641,2
1177,767,2006-12-05 04:01:23,0101000020110F0000D531191548C33241DFA020FE060F5641,2
1178,767,2006-12-05 08:02:54,0101000020110F00004D282B329AC63241A536EDEC05105641,2
1179,767,2006-12-05 12:01:45,0101000020110F00000EE665F32EC63241F0F1F26FFB0F5641,2
1180,767,2006-12-05 16:02:49,0101000020110F00007FBB0D861AC6324113F60A2C05105641,2
1181,767,2006-12-05 20:01:46,0101000020110F0000C44F2D292FC5324142E6D0E21A105641,2
1182,767,2006-12-06 00:01:56,0101000020110F000074236E17B1C43241BFAB73A20A105641,2
1183,767,2006-12-06 04:01:23,0101000020110F0000DD360099FBC43241311A839A970F5641,2
1184,767,2006-12-06 12:01:56,0101000020110F0000B3D8FD37B2C63241C76C850102105641,2
627,767,2006-07-08 00:00:53,0101000020110F0000C45355371DC5324173A60198070F5641,2
1112,767,2006-11-22 04:02:03,0101000020110F0000D9BF5F7358C63241FF68CD27C60F5641,2
92,767,2006-01-06 06:02:42,0101000020110F000027B860C450CC3241DA41C06CFE0D5641,1
196,767,2006-02-22 00:02:23,0101000020110F000040DE48AD73CC32413CCF88F5930E5641,1
301,767,2006-04-05 04:00:53,0101000020110F0000AA52AB764ACA32417D0A9FF4F80D5641,1
405,767,2006-05-05 00:02:19,0101000020110F000021AC4A0C40C53241F3B57E4D200F5641,2
510,767,2006-06-04 00:03:07,0101000020110F000066994D216BC632419F52CA3C580F5641,2
613,767,2006-07-03 04:02:54,0101000020110F0000416BD9ED04C732415CD287F19D0F5641,2
717,767,2006-08-16 05:32:28,0101000020110F0000F6D0A1BF44C73241F32402ADB90F5641,2
822,767,2006-09-10 00:00:55,0101000020110F000008EE387F53C63241F03A1530550F5641,2
926,767,2006-10-11 20:00:54,0101000020110F0000F97CBD8904C63241D4BA8D48A40F5641,2
1030,767,2006-11-05 00:02:22,0101000020110F0000A87A094FA3C33241E22B932F7F0F5641,2
1031,767,2006-11-05 04:00:48,0101000020110F00004DF5A6D052C432414C9D6E259B0F5641,2
1032,767,2006-11-05 08:01:53,0101000020110F0000BD493E48B1C53241051D4A2C14105641,2
1033,767,2006-11-05 12:02:11,0101000020110F00007A8E656D22C6324189605E05F50F5641,2
1034,767,2006-11-05 16:02:41,0101000020110F0000C50A8E1D75C63241A042604517105641,2
1035,767,2006-11-05 20:01:09,0101000020110F000012A3A57227C6324190DF99528A0F5641,2
1037,767,2006-11-06 04:01:22,0101000020110F000077A7753934C43241CF48E59F8F0F5641,2
1038,767,2006-11-06 12:02:59,0101000020110F0000A6061E0F09C732415277CE55FA0F5641,2
1039,767,2006-11-06 20:02:49,0101000020110F0000DB7E01ED4BC53241A0919F5BA10F5641,2
1040,767,2006-11-07 00:01:23,0101000020110F00002F4F4A153BC532418DD0B23AB60F5641,2
1041,767,2006-11-07 04:01:24,0101000020110F00002304582300C43241486A043E8C0F5641,2
1042,767,2006-11-07 08:01:48,0101000020110F0000830A58E293C63241F33FF728D50F5641,2
947,767,2006-10-16 20:00:53,0101000020110F0000901790CB3AC632416D6B11ED980F5641,2
1046,767,2006-11-08 00:01:09,0101000020110F0000FCB16297EBC5324179A0A1D2A10F5641,2
1047,767,2006-11-08 04:01:24,0101000020110F00006864673BAEC53241BF187E10A90F5641,2
1048,767,2006-11-08 08:02:28,0101000020110F00006DC83F06B6C5324133245BC306105641,2
1050,767,2006-11-08 16:01:57,0101000020110F0000534C94D225C63241B3A9219DF90F5641,2
1051,767,2006-11-08 20:00:53,0101000020110F0000CF8426A71AC332419593B79A3D0F5641,2
1053,767,2006-11-09 04:01:21,0101000020110F00007743431F97C532412A0E16D2730F5641,2
1054,767,2006-11-09 12:01:23,0101000020110F00007563EEA9BDC732414B64F60CFA0F5641,2
1055,767,2006-11-09 16:02:50,0101000020110F0000942DF5DD36C73241A23AA3F100105641,2
1056,767,2006-11-09 20:01:24,0101000020110F0000317D8EEC50C53241E93992D4670F5641,2
1057,767,2006-11-10 00:01:54,0101000020110F000090971CCCD7C43241CA2E3BFE640F5641,2
1058,767,2006-11-10 04:00:54,0101000020110F00008C33C0BEF5C6324165D041FF640F5641,2
1059,767,2006-11-10 16:03:08,0101000020110F00005E3973710CC73241E38FFF09C80F5641,2
1060,767,2006-11-10 20:01:17,0101000020110F0000F129212C58C632419309CF4A8D0F5641,2
1061,767,2006-11-11 00:00:54,0101000020110F00003E501B509DC63241A463D8CC950F5641,2
1062,767,2006-11-11 04:01:14,0101000020110F0000EA000C63EEC632411485AB71B30F5641,2
1063,767,2006-11-11 16:02:18,0101000020110F0000AEAB55A934C63241720F131D0A105641,2
1064,767,2006-11-11 20:00:54,0101000020110F00005FAF134914C33241283C32A8460F5641,2
1065,767,2006-11-12 00:02:14,0101000020110F000046021509D0C232411039C322620F5641,2
1066,767,2006-11-12 08:02:17,0101000020110F000094036E49F4C632415B630A2EEE0F5641,2
1067,767,2006-11-12 12:02:24,0101000020110F0000DF36118B06C7324116CCAD9CF60F5641,2
1068,767,2006-11-12 16:01:23,0101000020110F00001CB137F9FEC63241D3840E48F50F5641,2
1069,767,2006-11-13 00:01:50,0101000020110F0000024676F263C4324178F77847680F5641,2
1071,767,2006-11-13 08:01:40,0101000020110F000099A941A23DC63241A5D37E0DF90F5641,2
1072,767,2006-11-13 16:02:54,0101000020110F00005C8FE31E07C632419957204527105641,2
1073,767,2006-11-13 20:00:54,0101000020110F0000E2A330532FC332417A5BC24A480F5641,2
1075,767,2006-11-14 04:00:48,0101000020110F0000500EF2F739C43241D880C8BC2C0F5641,2
1076,767,2006-11-14 08:02:43,0101000020110F0000769AF53B1AC6324166885F51F10F5641,2
1077,767,2006-11-14 12:01:48,0101000020110F00005A47B8D771C6324151C17E8678105641,2
1078,767,2006-11-14 16:02:53,0101000020110F0000F45765036EC6324132284DAB03105641,2
1079,767,2006-11-14 20:00:55,0101000020110F000069E81B4A39C43241DA311ABD900F5641,2
1080,767,2006-11-15 00:00:54,0101000020110F0000615D0DCBF4C232419CA4F9FB970F5641,2
1084,767,2006-11-16 00:01:42,0101000020110F000028E1190D6CC43241EF72B05B7F0F5641,2
1085,767,2006-11-16 04:00:54,0101000020110F0000EB3F6387ACC532413EBC5B01900F5641,2
1086,767,2006-11-16 08:03:09,0101000020110F00001C3C765E0EC73241FF3333D7F40F5641,2
1087,767,2006-11-16 12:02:02,0101000020110F000098A2E06B6CC6324130A5851C59105641,2
1088,767,2006-11-16 16:01:47,0101000020110F00007E7E6BF9C9C632413232AFACF10F5641,2
1089,767,2006-11-16 20:01:23,0101000020110F00002B1AE72841C432417E6124C1920F5641,2
1090,767,2006-11-17 00:00:53,0101000020110F0000C436903767C2324183E62DAE730F5641,2
1092,767,2006-11-17 16:00:55,0101000020110F0000554A32D82AC73241F84FD809FC0F5641,2
1093,767,2006-11-17 20:00:53,0101000020110F00005769DEE747C43241B4E068D59A0F5641,2
1094,767,2006-11-18 00:01:23,0101000020110F0000DC64337E06C33241A1DE8A57490F5641,2
1095,767,2006-11-18 12:01:51,0101000020110F0000FF030FC675C732413BF63B9B0C105641,2
1097,767,2006-11-19 00:00:42,0101000020110F000008BF1EC36CC33241161B6FCEB60F5641,2
1098,767,2006-11-19 04:00:54,0101000020110F000097B66E8C5FC33241C152E12AB30F5641,2
1122,767,2006-11-24 04:00:48,0101000020110F00008AFA4DC547C33241E1CEC5CF0A0F5641,2
1123,767,2006-11-24 08:01:24,0101000020110F0000DD5A6866F5C632415E535A91F80F5641,2
1124,767,2006-11-24 12:01:42,0101000020110F00003E54435E8BC63241D79A147B03105641,2
1125,767,2006-11-24 16:02:53,0101000020110F0000A9113C88ADC632416A47D8F6FC0F5641,2
1126,767,2006-11-24 20:01:23,0101000020110F0000103EB52BDCC332414440F239520F5641,2
1127,767,2006-11-25 00:01:47,0101000020110F0000C60ECF2C9DC33241A75B13AE340F5641,2
1128,767,2006-11-25 04:01:53,0101000020110F0000DD6EF686E8C33241267BFA75000F5641,2
1129,767,2006-11-25 20:00:43,0101000020110F00006724E7A8A1C232419B39C5E6530F5641,2
